Data_type,Region,Subnational,Frequency,Unit,Source,Status,Series ID,SR Code,Trade Code,Mnemonic,Function Description,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CN: Local Government Debt Outstanding: Special: Sichuan: Nanchong,China,Nanchong,"Annual, ending ""Dec"" of each year",RMB mn,Nanchong Municipal Bureau of Statistics,Active,477099147 (CFBDMQ),SR163603367,,,,2017,2021,18/07/2022,,,40022.000,75441420.000,8685.702,0.893,-0.508,0.217,32000.000,52910.000,37300.000,5,,,,,,,,,,,,,,,,,,,32000.000,33400.000,37300.000,44500.000,52910.000,
CN: Local Government Debt Outstanding: Special: Sichuan: Meishan,China,Meishan,"Annual, ending ""Dec"" of each year",RMB mn,Meishan Municipal Bureau of Statistics,Active,477099157 (CFBDMR),SR163603377,,,,2017,2021,18/07/2022,,,22288.000,62344720.000,7895.867,0.623,-1.071,0.354,14100.000,33440.000,20500.000,5,,,,,,,,,,,,,,,,,,,14100.000,16500.000,20500.000,26900.000,33440.000,
CN: Local Government Debt Outstanding: Special: Sichuan: Yibin,China,Yibin,"Annual, ending ""Dec"" of each year",RMB mn,Yibin Municipal Bureau of Statistics,Active,477099167 (CFBDMS),SR163603387,,,,2017,2021,18/07/2022,,,26318.000,165752120.000,12874.476,0.835,-0.513,0.489,13600.000,45290.000,22400.000,5,,,,,,,,,,,,,,,,,,,13600.000,17300.000,22400.000,33000.000,45290.000,
CN: Local Government Debt Outstanding: Special: Sichuan: Guangan,China,Guangan,"Annual, ending ""Dec"" of each year",RMB mn,Guangan Municipal Bureau of Statistics,Active,477099177 (CFBDMT),SR163603397,,,,2017,2021,18/07/2022,,,13222.000,58127420.000,7624.134,0.798,-0.788,0.577,5700.000,24310.000,10700.000,5,,,,,,,,,,,,,,,,,,,5700.000,7900.000,10700.000,17500.000,24310.000,
CN: Local Government Debt Outstanding: Special: Sichuan: Dazhou,China,Dazhou,"Annual, ending ""Dec"" of each year",RMB mn,Dazhou Municipal Bureau of Statistics,Active,477099187 (CFBDMU),SR163603407,,,,2017,2021,18/07/2022,,,18672.000,137614920.000,11730.939,1.069,0.333,0.628,7800.000,36760.000,14800.000,5,,,,,,,,,,,,,,,,,,,7800.000,10500.000,14800.000,23500.000,36760.000,
CN: Local Government Debt Outstanding: Special: Sichuan: Yaan,China,Yaan,"Annual, ending ""Dec"" of each year",RMB mn,Yaan Municipal Bureau of Statistics,Active,477099197 (CFBDMV),SR163603417,,,,2017,2021,18/07/2022,,,7638.000,24561720.000,4955.978,0.806,-0.632,0.649,2700.000,14890.000,6100.000,5,,,,,,,,,,,,,,,,,,,2700.000,4200.000,6100.000,10300.000,14890.000,
CN: Local Government Debt Outstanding: Special: Sichuan: Bazhong,China,Bazhong,"Annual, ending ""Dec"" of each year",RMB mn,Bazhong Municipal Bureau of Statistics,Active,477099207 (CFBDMW),SR163603427,,,,2017,2021,18/07/2022,,,16078.000,77339420.000,8794.283,1.515,2.062,0.547,8900.000,30590.000,12500.000,5,,,,,,,,,,,,,,,,,,,8900.000,10500.000,12500.000,17900.000,30590.000,
CN: Local Government Debt Outstanding: Special: Sichuan: Ziyang,China,Ziyang,"Annual, ending ""Dec"" of each year",RMB mn,Ziyang Municipal Bureau of Statistics,Active,477099217 (CFBDMX),SR163603437,,,,2017,2021,18/07/2022,,,18188.000,10110720.000,3179.736,1.205,0.275,0.175,15800.000,23140.000,16600.000,5,,,,,,,,,,,,,,,,,,,15800.000,15800.000,16600.000,19600.000,23140.000,
CN: Local Government Debt Outstanding: Special: Guizhou: Guiyang,China,Guiyang,"Annual, ending ""Dec"" of each year",RMB mn,Guiyang Municipal Bureau of Statistics,Active,477099227 (CFBDMY),SR163603447,,,,2017,2021,20/04/2022,,,192368.788,170430374.655,13054.898,0.689,-1.881,0.068,181023.000,210286.940,187369.000,5,,,,,,,,,,,,,,,,,,,187369.000,181441.000,181023.000,201724.000,210286.940,
CN: Local Government Debt Outstanding: Special: Guizhou: Liupanshui,China,Liupanshui,"Annual, ending ""Dec"" of each year",RMB mn,Liupanshui Municipal Bureau of Statistics,Active,477099237 (CFBDMZ),SR163603457,,,,2018,2021,18/07/2022,,,13716.500,37491291.000,6123.013,0.365,-3.930,0.446,8611.000,20848.000,12703.500,4,,,,,,,,,,,,,,,,,,,,8611.000,8611.000,16796.000,20848.000,
CN: Local Government Debt Outstanding: Special: Guizhou: Zunyi,China,Zunyi,"Annual, ending ""Dec"" of each year",RMB mn,Zunyi Municipal Bureau of Statistics,Active,477099247 (CFBDNA),SR163603467,,,,2018,2021,18/07/2022,,,47982.500,189408728.333,13762.584,0.264,-3.610,0.287,34417.000,63828.000,46842.500,4,,,,,,,,,,,,,,,,,,,,34417.000,38764.000,54921.000,63828.000,
CN: Local Government Debt Outstanding: Special: Guizhou: Anshun,China,Anshun,"Annual, ending ""Dec"" of each year",RMB mn,Anshun Municipal Bureau of Statistics,Active,477099257 (CFBDNB),SR163603477,,,,2018,2021,18/07/2022,,,21198.000,27841916.667,5276.544,0.194,-3.464,0.249,15787.000,27210.000,20897.500,4,,,,,,,,,,,,,,,,,,,,15787.000,17904.000,23891.000,27210.000,
CN: Local Government Debt Outstanding: Special: Guizhou: Bijie,China,Bijie,"Annual, ending ""Dec"" of each year",RMB mn,Bijie Municipal Bureau of Statistics,Active,477099267 (CFBDNC),SR163603487,,,,2018,2021,18/07/2022,,,28695.250,64098098.250,8006.129,0.417,-3.645,0.279,22057.000,38170.000,27277.000,4,,,,,,,,,,,,,,,,,,,,22060.000,22057.000,32494.000,38170.000,
CN: Local Government Debt Outstanding: Special: Guizhou: Tongren,China,Tongren,"Annual, ending ""Dec"" of each year",RMB mn,Tongren Municipal Bureau of Statistics,Active,477099277 (CFBDND),SR163603497,,,,2018,2021,18/07/2022,,,20037.000,41465602.000,6439.379,0.409,-3.265,0.321,14030.000,27710.000,19204.000,4,,,,,,,,,,,,,,,,,,,,14030.000,15459.000,22949.000,27710.000,
CN: Local Government Debt Outstanding: Special: Yunnan: Kunming,China,Kunming,"Annual, ending ""Dec"" of each year",RMB mn,Kunming Municipal Bureau of Statistics,Active,477099287 (CFBDNE),SR163603507,,,,2017,2021,03/08/2022,,,138188.382,84519541.307,9193.451,0.785,-1.253,0.067,129800.000,151326.000,134852.600,5,,,,,,,,,,,,,,,,,,,131040.000,129800.000,134852.600,143923.310,151326.000,
CN: Local Government Debt Outstanding: Special: Yunnan: Qujing,China,Qujing,"Annual, ending ""Dec"" of each year",RMB mn,Qujing Municipal Bureau of Statistics,Active,477099297 (CFBDNF),SR163603517,,,,2018,2020,20/04/2022,,,12086.667,90851033.333,9531.581,1.412,,0.789,4750.000,22860.000,8650.000,3,,,,,,,,,,,,,,,,,,,,4750.000,8650.000,22860.000,,
CN: Local Government Debt Outstanding: Special: Yunnan: Yuxi,China,Yuxi,"Annual, ending ""Dec"" of each year",RMB mn,Yuxi Municipal Bureau of Statistics,Active,477099307 (CFBDNG),SR163603527,,,,2018,2020,20/04/2022,,,20283.333,5878633.333,2424.589,-0.560,,0.120,17720.000,22540.000,20590.000,3,,,,,,,,,,,,,,,,,,,,17720.000,20590.000,22540.000,,
CN: Local Government Debt Outstanding: Special: Yunnan: Baoshan,China,Baoshan,"Annual, ending ""Dec"" of each year",RMB mn,Baoshan Municipal Bureau of Statistics,Active,477099317 (CFBDNH),SR163603537,,,,2018,2020,20/04/2022,,,17260.000,35030800.000,5918.682,0.711,,0.343,11880.000,23600.000,16300.000,3,,,,,,,,,,,,,,,,,,,,11880.000,16300.000,23600.000,,
CN: Local Government Debt Outstanding: Special: Yunnan: Zhaotong,China,Zhaotong,"Annual, ending ""Dec"" of each year",RMB mn,Zhaotong Municipal Bureau of Statistics,Active,477099327 (CFBDNI),SR163603547,,,,2018,2020,20/04/2022,,,15723.333,68159033.333,8255.848,-0.074,,0.525,7400.000,23910.000,15860.000,3,,,,,,,,,,,,,,,,,,,,7400.000,15860.000,23910.000,,
CN: Local Government Debt Outstanding: Special: Yunnan: Lijiang,China,Lijiang,"Annual, ending ""Dec"" of each year",RMB mn,Lijiang Municipal Bureau of Statistics,Active,477099337 (CFBDNJ),SR163603557,,,,2018,2020,20/04/2022,,,5916.667,24593633.333,4959.197,1.305,,0.838,1960.000,11480.000,4310.000,3,,,,,,,,,,,,,,,,,,,,1960.000,4310.000,11480.000,,
CN: Local Government Debt Outstanding: Special: Yunnan: Puer,China,Puer,"Annual, ending ""Dec"" of each year",RMB mn,Puer Municipal Bureau of Statistics,Active,477099347 (CFBDNK),SR163603567,,,,2018,2020,20/04/2022,,,7773.333,32492233.333,5700.196,1.533,,0.733,3610.000,14270.000,5440.000,3,,,,,,,,,,,,,,,,,,,,3610.000,5440.000,14270.000,,
CN: Local Government Debt Outstanding: Special: Yunnan: Lincang,China,Lincang,"Annual, ending ""Dec"" of each year",RMB mn,Lincang Municipal Bureau of Statistics,Active,477099357 (CFBDNL),SR163603577,,,,2018,2020,20/04/2022,,,10436.667,165186033.333,12852.472,1.589,,1.231,1340.000,25140.000,4830.000,3,,,,,,,,,,,,,,,,,,,,1340.000,4830.000,25140.000,,
CN: Local Government Debt Outstanding: Special: Shaanxi: Xian,China,Xian,"Annual, ending ""Dec"" of each year",RMB mn,Xian Municipal Bureau of Statistics,Active,477099427 (CFBDNS),SR163603647,,,,2017,2021,19/07/2022,,,183462.200,669233984.700,25869.557,1.325,1.456,0.141,160485.000,225143.000,174794.000,5,,,,,,,,,,,,,,,,,,,160485.000,166482.000,174794.000,190407.000,225143.000,
CN: Local Government Debt Outstanding: Special: Shaanxi: Tongchuan,China,Tongchuan,"Annual, ending ""Dec"" of each year",RMB mn,Tongchuan Municipal Bureau of Statistics,Active,477099437 (CFBDNT),SR163603657,,,,2018,2021,19/07/2022,,,4081.333,8935346.333,2989.205,-0.370,,0.732,976.000,6939.000,4329.000,3,,,,,,,,,,,,,,,,,,,,976.000,,4329.000,6939.000,
CN: Local Government Debt Outstanding: Special: Shaanxi: Baoji,China,Baoji,"Annual, ending ""Dec"" of each year",RMB mn,Baoji Municipal Bureau of Statistics,Active,477099447 (CFBDNU),SR163603667,,,,2018,2021,19/07/2022,,,8648.000,24461773.000,4945.884,-0.733,,0.572,3340.000,13127.000,9477.000,3,,,,,,,,,,,,,,,,,,,,3340.000,,9477.000,13127.000,
CN: Local Government Debt Outstanding: Special: Shaanxi: Xianyang,China,Xianyang,"Annual, ending ""Dec"" of each year",RMB mn,Xianyang Municipal Bureau of Statistics,Active,477099457 (CFBDNV),SR163603677,,,,2018,2021,19/07/2022,,,12415.333,35493781.333,5957.666,-0.123,,0.480,6378.000,18290.000,12578.000,3,,,,,,,,,,,,,,,,,,,,6378.000,,12578.000,18290.000,
CN: Local Government Debt Outstanding: Special: Shaanxi: Weinan,China,Weinan,"Annual, ending ""Dec"" of each year",RMB mn,Weinan Municipal Bureau of Statistics,Active,477099467 (CFBDNW),SR163603687,,,,2018,2021,19/07/2022,,,17813.667,33886622.333,5821.222,0.045,,0.327,12022.000,23664.000,17755.000,3,,,,,,,,,,,,,,,,,,,,12022.000,,17755.000,23664.000,
CN: Local Government Debt Outstanding: Special: Shaanxi: Yanan,China,Yanan,"Annual, ending ""Dec"" of each year",RMB mn,Yanan Municipal Bureau of Statistics,Active,477099477 (CFBDNX),SR163603697,,,,2018,2021,19/07/2022,,,22975.333,39172702.333,6258.810,0.141,,0.272,16817.000,29330.000,22779.000,3,,,,,,,,,,,,,,,,,,,,16817.000,,22779.000,29330.000,
CN: Local Government Debt Outstanding: Special: Shaanxi: Hanzhong,China,Hanzhong,"Annual, ending ""Dec"" of each year",RMB mn,Hanzhong Municipal Bureau of Statistics,Active,477099487 (CFBDNY),SR163603707,,,,2018,2021,19/07/2022,,,13483.000,27210477.000,5216.366,-0.671,,0.387,7914.000,18255.000,14280.000,3,,,,,,,,,,,,,,,,,,,,7914.000,,14280.000,18255.000,
CN: Local Government Debt Outstanding: Special: Shaanxi: Yulin,China,Yulin,"Annual, ending ""Dec"" of each year",RMB mn,Yu lin Municipal Bureau of Statistics,Active,477099497 (CFBDNZ),SR163603717,,,,2018,2021,19/07/2022,,,14080.667,32903089.333,5736.121,-0.688,,0.407,7948.000,19314.000,14980.000,3,,,,,,,,,,,,,,,,,,,,7948.000,,14980.000,19314.000,
CN: Local Government Debt Outstanding: Special: Shaanxi: Ankang,China,Ankang,"Annual, ending ""Dec"" of each year",RMB mn,Ankang Municipal Bureau of Statistics,Active,477099507 (CFBDOA),SR163603727,,,,2018,2021,19/07/2022,,,9346.667,14151180.333,3761.805,-0.233,,0.402,5491.000,13007.000,9542.000,3,,,,,,,,,,,,,,,,,,,,5491.000,,9542.000,13007.000,
CN: Local Government Debt Outstanding: Special: Shaanxi: Shangluo,China,Shangluo,"Annual, ending ""Dec"" of each year",RMB mn,Shangluo Municipal Bureau of Statistics,Active,477099517 (CFBDOB),SR163603737,,,,2018,2021,19/07/2022,,,5026.667,3299989.333,1816.587,-0.132,,0.361,3184.000,6816.000,5080.000,3,,,,,,,,,,,,,,,,,,,,3184.000,,5080.000,6816.000,
CN: Local Government Debt Outstanding: Special: Gansu: Lanzhou,China,Lanzhou,"Annual, ending ""Dec"" of each year",RMB mn,Lanzhou Municipal Bureau of Statistics,Active,477099527 (CFBDOC),SR163603747,,,,2015,2021,21/10/2022,,,44087.266,68609449.826,8283.082,1.081,0.034,0.188,35900.000,58565.183,42001.030,7,,,,,,,,,,,,,,,,,38100.000,35900.000,38717.797,42001.030,43168.620,52158.230,58565.183,
CN: Local Government Debt Outstanding: Special: Gansu: Jiayuguan,China,Jiayuguan,"Annual, ending ""Dec"" of each year",RMB mn,Jiayuguan Municipal Bureau of Statistics,Active,477099537 (CFBDOD),SR163603757,,,,2017,2021,19/07/2022,,,1497.800,417664.200,646.269,-0.133,-2.456,0.431,710.000,2160.000,1500.000,5,,,,,,,,,,,,,,,,,,,710.000,1010.000,1500.000,2160.000,2109.000,
CN: Local Government Debt Outstanding: Special: Gansu: Jinchang,China,Jinchang,"Annual, ending ""Dec"" of each year",RMB mn,Jinchang Municipal Bureau of Statistics,Active,477099547 (CFBDOE),SR163603767,,,,2017,2021,19/07/2022,,,1888.191,1185490.276,1088.802,0.042,-2.958,0.577,739.504,2996.880,1842.100,5,,,,,,,,,,,,,,,,,,,739.504,885.420,1842.100,2996.880,2977.050,
CN: Local Government Debt Outstanding: Special: Gansu: Baiyin,China,Baiyin,"Annual, ending ""Dec"" of each year",RMB mn,Baiyin Municipal Bureau of Statistics,Active,477099557 (CFBDOF),SR163603777,,,,2017,2021,19/07/2022,,,7932.538,5864147.112,2421.600,0.051,-2.817,0.305,5247.815,10503.240,7761.039,5,,,,,,,,,,,,,,,,,,,5247.815,5887.815,7761.039,10503.240,10262.782,
CN: Local Government Debt Outstanding: Special: Gansu: Tianshui,China,Tianshui,"Annual, ending ""Dec"" of each year",RMB mn,Tianshui Municipal Bureau of Statistics,Active,477099567 (CFBDOG),SR163603787,,,,2017,2021,19/07/2022,,,7136.679,8922117.178,2986.991,-0.562,-1.545,0.419,3018.248,9937.972,7697.606,5,,,,,,,,,,,,,,,,,,,3018.248,5247.718,7697.606,9937.972,9781.852,
CN: Local Government Debt Outstanding: Special: Gansu: Wuwei,China,Wuwei,"Annual, ending ""Dec"" of each year",RMB mn,Wuwei Municipal Bureau of Statistics,Active,477099577 (CFBDOH),SR163603797,,,,2017,2021,19/07/2022,,,5862.581,7528587.955,2743.827,-0.400,-2.330,0.468,2346.788,8408.620,6406.088,5,,,,,,,,,,,,,,,,,,,2346.788,3742.788,6406.088,8408.620,8408.620,
CN: Local Government Debt Outstanding: Special: Gansu: Zhangye,China,Zhangye,"Annual, ending ""Dec"" of each year",RMB mn,Zhangye Municipal Bureau of Statistics,Active,477099587 (CFBDOI),SR163603807,,,,2017,2021,19/07/2022,,,6986.491,24105322.186,4909.717,-0.023,-2.906,0.703,1612.151,11889.620,6983.963,5,,,,,,,,,,,,,,,,,,,1612.151,2565.846,6983.963,11889.620,11880.873,
CN: Local Government Debt Outstanding: Special: Gansu: Pingliang,China,Pingliang,"Annual, ending ""Dec"" of each year",RMB mn,Pingliang Municipal Bureau of Statistics,Active,477099597 (CFBDOJ),SR163603817,,,,2017,2021,19/07/2022,,,5708.694,8382555.537,2895.264,-0.356,-2.352,0.507,2028.015,8444.923,6187.033,5,,,,,,,,,,,,,,,,,,,2028.015,3476.142,6187.033,8444.923,8407.356,
CN: Local Government Debt Outstanding: Special: Gansu: Jiuquan,China,Jiuquan,"Annual, ending ""Dec"" of each year",RMB mn,Jiuquan Municipal Bureau of Statistics,Active,477099607 (CFBDOK),SR163603827,,,,2017,2021,19/07/2022,,,4307.304,3386505.085,1840.246,0.025,-2.289,0.427,2052.310,6194.020,3918.175,5,,,,,,,,,,,,,,,,,,,2052.310,3192.175,3918.175,6194.020,6179.840,
CN: Local Government Debt Outstanding: Special: Gansu: Qingyang,China,Qingyang,"Annual, ending ""Dec"" of each year",RMB mn,Qingyang Municipal Bureau of Statistics,Active,477099617 (CFBDOL),SR163603837,,,,2017,2021,19/07/2022,,,7449.847,13732772.994,3705.776,-0.423,-2.741,0.497,2905.753,10886.760,8547.767,5,,,,,,,,,,,,,,,,,,,2905.753,4193.767,8547.767,10886.760,10715.187,
CN: Local Government Debt Outstanding: Special: Gansu: Dingxi,China,Dingxi,"Annual, ending ""Dec"" of each year",RMB mn,Dingxi Municipal Bureau of Statistics,Active,477099627 (CFBDOM),SR163603847,,,,2017,2021,19/07/2022,,,5612.650,10706597.267,3272.094,-0.397,-2.451,0.583,1471.448,8636.315,6329.176,5,,,,,,,,,,,,,,,,,,,1471.448,2989.994,6329.176,8636.315,8636.315,
CN: Local Government Debt Outstanding: Special: Gansu: Longnan,China,Longnan,"Annual, ending ""Dec"" of each year",RMB mn,Longnan Municipal Bureau of Statistics,Active,477099637 (CFBDON),SR163603857,,,,2017,2021,19/07/2022,,,4220.072,4595393.691,2143.687,-0.024,-2.786,0.508,1784.290,6397.090,4169.090,5,,,,,,,,,,,,,,,,,,,1784.290,2418.090,4169.090,6397.090,6331.800,
CN: Local Government Debt Outstanding: Special: Qinghai: Xining,China,Xining,"Annual, ending ""Dec"" of each year",RMB mn,Xining Municipal Bureau of Statistics,Active,477099647 (CFBDOO),SR163603867,,,,2019,2021,19/07/2022,,,21277.667,6797660.333,2607.232,-0.847,,0.123,18453.000,23592.000,21788.000,3,,,,,,,,,,,,,,,,,,,,,18453.000,21788.000,23592.000,
CN: Local Government Debt Outstanding: Special: Qinghai: Haidong,China,Haidong,"Annual, ending ""Dec"" of each year",RMB mn,Haidong Municipal Bureau of Statistics,Active,477099657 (CFBDOP),SR163603877,,,,2019,2021,19/07/2022,,,9049.000,11793175.000,3434.119,1.083,,0.380,6144.000,12839.000,8164.000,3,,,,,,,,,,,,,,,,,,,,,6144.000,8164.000,12839.000,
CN: Local Government Debt Outstanding: Special: Ningxia: Yinchuan,China,Yinchuan,"Annual, ending ""Dec"" of each year",RMB mn,Yinchuan Municipal Bureau of Statistics,Active,477099667 (CFBDOQ),SR163603887,,,,2017,2020,20/04/2022,,,9999.125,4358798.818,2087.774,-0.137,-5.126,0.209,7787.940,11880.000,10164.280,4,,,,,,,,,,,,,,,,,,,7787.940,8648.560,11680.000,11880.000,,
CN: Local Government Debt Outstanding: Special: Ningxia: Shizuishan,China,Shizuishan,"Annual, ending ""Dec"" of each year",RMB mn,Shizuishan Municipal Bureau of Statistics,Active,477099677 (CFBDOR),SR163603897,,,,2017,2020,20/04/2022,,,1057.905,44982.125,212.090,-1.925,3.734,0.200,741.810,1188.000,1150.905,4,,,,,,,,,,,,,,,,,,,741.810,1130.810,1188.000,1171.000,,
CN: Local Government Debt Outstanding: Special: Ningxia: Wuzhong,China,Wuzhong,"Annual, ending ""Dec"" of each year",RMB mn,Wuzhong Municipal Bureau of Statistics,Active,477099687 (CFBDOS),SR163603907,,,,2017,2020,20/04/2022,,,2872.028,93543.781,305.849,1.062,0.975,0.106,2582.810,3290.000,2807.650,4,,,,,,,,,,,,,,,,,,,2582.810,2891.300,2724.000,3290.000,,
CN: Local Government Debt Outstanding: Special: Ningxia: Guyuan,China,Guyuan,"Annual, ending ""Dec"" of each year",RMB mn,Guyuan Municipal Bureau of Statistics,Active,477099697 (CFBDOT),SR163603917,,,,2017,2020,20/04/2022,,,933.108,391071.229,625.357,-0.170,-4.966,0.670,259.220,1490.000,991.605,4,,,,,,,,,,,,,,,,,,,259.220,543.210,1440.000,1490.000,,
CN: Local Government Debt Outstanding: Special: Ningxia: Zhongwei,China,Zhongwei,"Annual, ending ""Dec"" of each year",RMB mn,Zhongwei Municipal Bureau of Statistics,Active,477099707 (CFBDOU),SR163603927,,,,2017,2020,20/04/2022,,,1203.250,184033.952,428.992,-0.273,-4.432,0.357,719.560,1572.000,1260.720,4,,,,,,,,,,,,,,,,,,,719.560,964.440,1572.000,1557.000,,
CN: Local Government Debt Outstanding: Special: Xinjiang: Urumqi,China,Urumqi,"Annual, ending ""Dec"" of each year",RMB mn,Urumqi Municipal Bureau of Statistics,Active,477099717 (CFBDOV),SR163603937,,,,2018,2021,21/07/2022,,,72719.331,207734541.163,14412.999,-0.107,-0.955,0.198,55575.264,89235.060,73033.500,4,,,,,,,,,,,,,,,,,,,,55575.264,67727.000,78340.000,89235.060,
CN: Local Government Debt Outstanding: Special: Xinjiang: Karamay,China,Karamay,"Annual, ending ""Dec"" of each year",RMB mn,Karamay Municipal Bureau of Statistics,Active,477099727 (CFBDOW),SR163603947,,,,2018,2021,21/07/2022,,,4577.500,12587158.333,3547.839,0.007,-3.799,0.775,770.000,8400.000,4570.000,4,,,,,,,,,,,,,,,,,,,,770.000,2490.000,6650.000,8400.000,
CN: Local Government Debt Outstanding: Special: Xinjiang: Turpan,China,Turpan,"Annual, ending ""Dec"" of each year",RMB mn,Turpan Municipal Bureau of Statistics,Active,477099737 (CFBDOX),SR163603957,,,,2018,2021,21/07/2022,,,6438.693,19993647.912,4471.426,0.163,-2.645,0.694,1632.686,11610.815,6255.635,4,,,,,,,,,,,,,,,,,,,,1632.686,4012.270,8499.000,11610.815,
CN: Local Government Debt Outstanding: Special: Xinjiang: Hami,China,Hami,"Annual, ending ""Dec"" of each year",RMB mn,Hami Municipal Bureau of Statistics,Active,477099747 (CFBDOY),SR163603967,,,,2018,2021,21/07/2022,,,6260.475,17862895.983,4226.452,0.676,-0.012,0.675,1896.000,11759.300,5693.300,4,,,,,,,,,,,,,,,,,,,,1896.000,4340.600,7046.000,11759.300,
CN: Govt Revenue: Prefecture Level City,China,,"Annual, ending ""Dec"" of each year",RMB mn,National Bureau of Statistics,Active,146786801 (CFAEIA),SR1937849,,,,2003,2015,15/05/2017,,,3392355.899,4874243891191.030,2207768.985,0.479,-1.251,0.651,807757.660,7139555.260,2726035.050,13,,,,,807757.660,967265.770,1224806.000,1493689.440,1959418.720,2397532.090,2726035.050,3450343.580,4353780.420,5151417.960,5943489.850,6485534.890,7139555.260,,,,,,,
CN: Govt Revenue: Beijing,China,Beijing,"Annual, ending ""Dec"" of each year",RMB mn,Beijing Municipal Bureau of Statistics,Active,146786901 (CFAEIB),SR1935831,,,,1997,2022,17/02/2023,,,294489.668,44918459568.275,211939.755,0.169,-1.641,0.720,28137.000,593230.800,268010.260,24,28137.000,34499.680,45416.760,53399.000,59253.880,74448.740,91920.980,111715.140,149263.800,183732.380,202680.890,235393.010,300627.510,331493.400,366110.970,402716.090,472385.970,508125.590,543078.750,578591.760,581709.940,548390.000,593230.800,571430.000
CN: Govt Revenue: Tianjin,China,Tianjin,"Annual, ending ""Dec"" of each year",RMB mn,Tianjin Municipal Bureau of Statistics,Active,146787001 (CFAEIC),SR1936528,,,,1978,2022,02/03/2023,,,127921.972,9054293475.040,95154.051,0.082,-1.710,0.744,11280.730,272346.000,126196.960,24,11280.730,13360.690,16363.500,17183.230,20452.950,24618.000,33185.070,41704.790,54043.900,67561.860,82199.160,106880.930,145512.990,176002.010,207907.160,239035.180,266711.000,272346.000,231036.000,210623.970,241041.199,192311.000,214106.000,184660.000
CN: Govt Revenue: Hebei: Shijiazhuang,China,Shijiazhuang,"Annual, ending ""Dec"" of each year",RMB mn,Shijiazhuang Municipal Bureau of Statistics,Active,146787101 (CFAEID),SR1936476,,,,2003,2022,06/02/2023,,,31180.638,491859842.556,22177.913,0.425,-1.162,0.711,4934.290,71800.000,29369.985,20,,,,,4934.290,5616.440,6587.960,7737.360,9587.200,11003.660,12596.140,16363.030,22122.840,27227.640,31512.330,34347.450,37505.290,41072.380,46088.860,51967.780,56912.830,63219.280,65410.000,71800.000
CN: Govt Revenue: Hebei: Tangshan,China,Tangshan,"Annual, ending ""Dec"" of each year",RMB mn,Tangshan Municipal Bureau of Statistics,Active,146787201 (CFAEIE),SR1935462,,,,2003,2022,06/02/2023,,,28370.383,273447861.615,16536.259,0.108,-1.185,0.583,4142.590,55270.000,30975.440,20,,,,,4142.590,5812.690,7761.370,9337.580,11920.810,14926.700,16971.610,19584.190,25556.240,30109.360,31841.520,32374.980,33497.970,35506.990,38034.810,43243.470,46534.840,50709.930,55270.000,54270.000
CN: Govt Revenue: Hebei: Qinhuangdao,China,Qinhuangdao,"Annual, ending ""Dec"" of each year",RMB mn,Qinhuangdao Municipal Bureau of Statistics,Active,146787301 (CFAEIF),SR1935283,,,,2003,2022,06/02/2023,,,9298.427,26107669.250,5109.566,-0.061,-1.221,0.550,1610.610,17220.000,10908.250,20,,,,,1610.610,1903.220,2578.790,3252.590,4164.690,4868.000,5633.320,7202.000,8664.390,10866.220,10950.280,11365.840,11436.200,11601.280,11855.250,13343.390,14413.600,15848.860,17220.000,17190.000
CN: Govt Revenue: Hebei: Handan,China,Handan,"Annual, ending ""Dec"" of each year",RMB mn,Handan Municipal Bureau of Statistics,Active,146787401 (CFAEIG),SR1936956,,,,2003,2022,06/02/2023,,,16420.709,96855810.200,9841.535,0.240,-0.919,0.599,2683.590,35520.000,17790.655,20,,,,,2683.590,3405.100,4321.480,5281.390,6945.880,7745.860,8717.600,11589.750,15895.040,18465.040,17265.140,18316.170,19062.150,20450.180,22011.500,24339.700,26206.830,28781.780,31410.000,35520.000
CN: Govt Revenue: Hebei: Xingtai,China,Xingtai,"Annual, ending ""Dec"" of each year",RMB mn,Xingtai Municipal Bureau of Statistics,Active,146787501 (CFAEIH),SR1936602,,,,2003,2022,06/02/2023,,,9142.407,36884697.612,6073.277,0.514,-0.906,0.664,1800.050,20970.000,8777.260,20,,,,,2687.640,1800.050,2185.180,2550.820,3135.520,3689.980,4303.230,5710.010,7057.610,8561.200,8993.320,9570.600,10270.000,11148.020,12673.790,14900.140,15984.500,17586.530,19070.000,20970.000
CN: Govt Revenue: Hebei: Baoding,China,Baoding,"Annual, ending ""Dec"" of each year",RMB mn,Baoding Municipal Bureau of Statistics,Active,146787601 (CFAEII),SR1936902,,,,2003,2022,06/02/2023,,,16838.133,122622733.807,11073.515,0.150,-1.568,0.658,2978.570,34660.000,17011.630,20,,,,,2978.570,3360.100,3726.280,4306.030,5148.430,6659.710,7325.590,9103.130,12858.900,15992.920,18030.340,19247.070,21286.050,24009.980,27844.450,28636.020,29695.520,30643.560,31250.000,34660.000
