Province,Country,Region,Frequency,Unit,Source,Status,Series ID,SR Code,Trade Code,Mnemonic,Function Description,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CN: GDP: Secondary Industry: Guangdong: Huizhou,China,Huizhou,"Annual, ending ""Dec"" of each year",RMB bn,Huizhou Municipal Bureau of Statistics,Active,293418501 (CAAPKY),SR4391782,,,,1999,2022,06/02/2023,,,123.291,7116.970,84.362,0.445,-0.946,0.684,22.392,301.987,112.962,24,22.392,25.526,27.729,30.240,34.790,39.100,45.679,54.550,65.130,75.945,78.896,102.299,123.625,139.231,154.987,171.331,174.462,185.590,198.416,212.220,215.814,213.761,265.276,301.987
CN: GDP: Secondary Industry: Guangdong: Meizhou,China,Meizhou,"Annual, ending ""Dec"" of each year",RMB bn,Meizhou Municipal Bureau of Statistics,Active,293418601 (CAAPKZ),SR4391602,,,,1999,2022,06/02/2023,,,24.014,151.834,12.322,-0.168,-1.492,0.513,5.756,40.913,26.222,24,5.756,6.330,6.792,7.410,8.970,11.540,12.980,15.340,17.810,20.299,20.637,24.819,27.624,28.000,29.518,32.744,34.719,36.382,35.233,35.204,36.904,39.635,40.913,40.769
CN: GDP: Secondary Industry: Guangdong: Shanwei,China,Shanwei,"Annual, ending ""Dec"" of each year",RMB bn,Shanwei Municipal Bureau of Statistics,Active,293418701 (CAAPLA),SR4391758,,,,1999,2022,06/02/2023,,,22.769,229.027,15.134,0.215,-1.260,0.665,3.731,49.896,22.431,24,4.257,3.731,4.254,4.615,5.295,6.730,8.310,10.350,13.186,15.668,16.941,19.988,24.875,28.644,30.409,31.654,32.140,34.167,34.874,37.129,39.094,41.163,49.896,49.090
CN: GDP: Secondary Industry: Guangdong: Heyuan,China,Heyuan,"Annual, ending ""Dec"" of each year",RMB bn,Heyuan Municipal Bureau of Statistics,Active,293357101 (CAAPLB),SR4392089,,,,1987,2022,06/02/2023,,,22.107,211.265,14.535,-0.025,-1.175,0.657,1.884,46.915,22.595,24,1.884,2.099,2.458,2.793,3.581,5.335,8.046,12.489,17.384,21.426,20.519,20.819,23.765,26.044,29.261,31.736,31.043,31.612,34.121,34.849,37.232,38.834,46.315,46.915
CN: GDP: Secondary Industry: Guangdong: Yangjiang,China,Yangjiang,"Annual, ending ""Dec"" of each year",RMB bn,Yangjiang Municipal Bureau of Statistics,Active,293357201 (CAAPLC),SR4392092,,,,1999,2022,06/02/2023,,,28.917,360.847,18.996,0.094,-1.509,0.657,4.703,59.635,28.628,24,4.739,4.703,5.114,5.828,6.831,8.610,11.083,13.123,16.212,20.000,20.990,25.810,31.446,36.913,45.224,51.193,50.326,45.214,41.129,38.933,44.323,47.381,59.251,59.635
CN: GDP: Secondary Industry: Guangdong: Qingyuan,China,Qingyuan,"Annual, ending ""Dec"" of each year",RMB bn,Qingyuan Municipal Bureau of Statistics,Active,293357301 (CAAPLD),SR4391755,,,,1999,2022,06/02/2023,,,35.728,555.796,23.575,0.060,-0.941,0.660,3.940,79.426,40.943,24,4.654,4.072,3.940,4.090,5.147,7.682,12.721,20.717,27.982,31.757,33.966,39.765,45.154,42.122,43.686,49.072,48.373,50.317,49.495,53.795,55.819,66.969,79.426,76.759
CN: GDP: Secondary Industry: Guangdong: Dongguan,China,Dongguan,"Annual, ending ""Dec"" of each year",RMB bn,Dongguan Municipal Bureau of Statistics,Active,293357401 (CAAPLE),SR4392088,,,,1978,2022,06/02/2023,,,276.705,36685.389,191.534,0.567,-0.795,0.692,36.758,651.364,246.328,24,36.758,45.147,54.187,65.062,80.006,101.911,123.214,151.281,176.261,191.216,189.708,231.300,261.357,271.327,298.372,325.618,347.905,385.942,441.653,496.040,529.893,553.457,631.941,651.364
CN: GDP: Secondary Industry: Guangdong: Zhongshan,China,Zhongshan,"Annual, ending ""Dec"" of each year",RMB bn,Zhongshan Municipal Bureau of Statistics,Active,293357501 (CAAPLF),SR4391760,,,,1999,2022,06/02/2023,,,102.293,3105.563,55.728,-0.300,-1.455,0.545,14.342,179.525,113.778,24,14.342,18.083,22.107,26.511,34.279,43.364,54.821,64.898,76.847,86.786,91.245,106.962,120.595,131.650,140.741,147.196,151.661,153.819,151.281,153.937,155.602,152.597,176.178,179.525
CN: GDP: Secondary Industry: Guangdong: Chaozhou,China,Chaozhou,"Annual, ending ""Dec"" of each year",RMB bn,Chaozhou Municipal Bureau of Statistics,Active,293357601 (CAAPLG),SR4392061,,,,1999,2022,06/02/2023,,,32.596,331.981,18.220,0.015,-1.492,0.559,8.320,62.552,33.301,24,8.320,8.652,9.071,9.700,10.740,12.530,15.168,18.550,21.820,25.136,26.387,30.950,35.652,39.224,41.784,46.127,47.677,49.495,49.161,50.020,51.769,51.615,60.208,62.552
CN: GDP: Secondary Industry: Guangdong: Jieyang,China,Jieyang,"Annual, ending ""Dec"" of each year",RMB bn,Jieyang Municipal Bureau of Statistics,Active,293357701 (CAAPLH),SR4391937,,,,1999,2022,06/02/2023,,,53.970,913.298,30.221,-0.204,-1.865,0.560,14.191,90.311,63.343,24,20.168,14.191,14.501,15.084,16.430,17.446,20.213,24.571,31.353,39.583,44.464,53.779,72.907,84.893,84.553,90.311,86.509,85.635,77.195,80.438,80.987,77.562,83.153,79.361
CN: GDP: Secondary Industry: Guangdong: Yunfu,China,Yunfu,"Annual, ending ""Dec"" of each year",RMB bn,Yunfu Municipal Bureau of Statistics,Active,293357801 (CAAPLI),SR4391915,,,,1996,2022,06/02/2023,,,18.241,133.150,11.539,0.186,-1.333,0.633,3.793,37.832,17.400,24,3.793,3.998,4.029,4.077,4.602,5.601,7.369,9.303,11.792,13.704,13.763,15.818,18.982,19.999,23.959,26.894,27.479,28.802,27.111,27.044,30.254,33.790,37.790,37.832
CN: GDP: Secondary Industry: Guangxi: Nanning,China,Nanning,"Annual, ending ""Dec"" of each year",RMB bn,Nanning Municipal Bureau of Statistics,Active,293357901 (CAAPLJ),SR4392040,,,,1978,2022,02/02/2023,,,65.427,1735.906,41.664,-0.091,-1.670,0.637,10.199,125.154,74.075,24,10.199,10.537,11.316,12.556,15.235,19.338,23.121,29.731,37.227,45.794,52.746,65.188,82.961,96.075,110.827,125.154,88.123,88.897,94.612,99.535,104.497,108.432,119.876,118.281
CN: GDP: Secondary Industry: Guangxi: Liuzhou,China,Liuzhou,"Annual, ending ""Dec"" of each year",RMB bn,Liuzhou Municipal Bureau of Statistics,Active,293358001 (CAAPLK),SR4391807,,,,1978,2022,09/02/2023,,,83.545,3111.518,55.781,-0.097,-1.737,0.668,9.909,160.866,92.182,24,9.909,10.726,11.984,13.551,16.873,22.606,26.611,34.579,43.793,54.896,63.643,83.996,100.368,114.736,127.493,131.254,130.011,136.181,148.708,160.866,155.191,150.113,127.750,129.244
CN: GDP: Secondary Industry: Guangxi: Guilin,China,Guilin,"Annual, ending ""Dec"" of each year",RMB bn,Guilin Municipal Bureau of Statistics,Active,293358101 (CAAPLL),SR4391787,,,,1978,2022,02/02/2023,,,45.314,773.561,27.813,0.209,-1.221,0.614,8.533,91.674,48.073,24,8.533,9.357,10.141,11.247,13.989,17.073,18.699,23.483,29.076,35.746,41.200,49.235,61.508,69.746,79.288,86.505,90.098,91.674,79.194,62.183,47.498,48.648,50.640,52.763
CN: GDP: Secondary Industry: Guangxi: Wuzhou,China,Wuzhou,"Annual, ending ""Dec"" of each year",RMB bn,Wuzhou Municipal Bureau of Statistics,Active,293358201 (CAAPLM),SR4391627,,,,1978,2022,02/02/2023,,,34.092,624.165,24.983,0.196,-1.451,0.733,3.467,78.571,34.140,24,3.467,3.851,4.164,4.706,5.602,7.593,9.761,12.623,16.500,21.550,24.660,34.123,46.584,52.522,65.483,64.610,62.390,67.935,78.571,41.679,34.156,38.329,58.939,58.419
CN: GDP: Secondary Industry: Guangxi: Beihai,China,Beihai,"Annual, ending ""Dec"" of each year",RMB bn,Beihai Municipal Bureau of Statistics,Active,293358301 (CAAPLN),SR4391816,,,,1978,2022,09/02/2023,,,28.287,617.411,24.848,0.482,-1.336,0.878,2.975,76.153,18.764,24,2.975,3.181,3.387,3.677,4.282,5.192,4.981,5.932,7.179,9.660,11.840,16.788,20.739,30.375,37.365,45.451,45.010,51.614,66.866,58.319,55.782,48.566,63.574,76.153
CN: GDP: Secondary Industry: Guangxi: Fangchenggang,China,Fangchenggang,"Annual, ending ""Dec"" of each year",RMB bn,Fangchenggang Municipal Bureau of Statistics,Active,293358401 (CAAPLO),SR4391925,,,,1978,2022,02/02/2023,,,20.171,268.749,16.394,0.243,-1.437,0.813,1.406,51.784,18.870,24,1.406,1.428,1.612,2.005,2.141,2.738,3.522,4.855,7.271,9.938,12.493,15.977,21.763,23.356,29.608,34.036,35.300,38.626,42.123,34.382,33.083,34.807,39.852,51.784
CN: GDP: Secondary Industry: Guangxi: Qinzhou,China,Qinzhou,"Annual, ending ""Dec"" of each year",RMB bn,Qinzhou Municipal Bureau of Statistics,Active,293358501 (CAAPLP),SR4391635,,,,1978,2022,02/02/2023,,,25.854,452.347,21.268,0.460,-1.076,0.823,2.206,67.861,25.383,24,2.206,2.349,2.628,2.902,3.498,4.399,5.150,7.950,9.869,12.485,14.138,21.851,29.073,28.915,31.685,33.894,38.175,48.190,62.501,53.314,45.177,39.013,53.275,67.861
CN: GDP: Secondary Industry: Guangxi: Guigang,China,Guigang,"Annual, ending ""Dec"" of each year",RMB bn,Guigang Municipal Bureau of Statistics,Active,293358601 (CAAPLQ),SR4391950,,,,1996,2022,02/02/2023,,,24.962,347.343,18.637,0.242,-1.396,0.747,2.198,55.634,25.637,24,2.198,2.487,2.811,2.994,3.858,5.352,7.263,8.885,12.751,15.346,18.221,24.825,26.449,27.338,30.335,32.551,34.850,39.320,46.586,49.404,45.979,49.166,54.492,55.634
CN: GDP: Secondary Industry: Guangxi: Yulin,China,Yulin,"Annual, ending ""Dec"" of each year",RMB bn,Yulin Municipal Bureau of Statistics,Active,293358701 (CAAPLR),SR4392038,,,,1978,2022,02/02/2023,,,35.778,547.498,23.399,-0.004,-1.619,0.654,5.710,73.414,41.599,24,5.710,6.070,6.117,7.150,8.499,10.103,12.080,14.864,18.706,23.032,27.714,37.339,45.859,48.233,52.662,59.166,63.583,66.503,73.414,55.741,46.929,46.085,60.572,62.546
CN: GDP: Secondary Industry: Guangxi: Baise,China,Baise,"Annual, ending ""Dec"" of each year",RMB bn,Baise Municipal Bureau of Statistics,Active,293358801 (CAAPLS),SR4392081,,,,1978,2022,02/02/2023,,,33.861,617.791,24.855,0.286,-1.150,0.734,2.866,78.933,33.591,24,2.866,3.243,3.525,4.743,5.838,8.283,10.570,14.911,17.649,21.761,22.578,31.398,35.784,41.421,43.259,49.003,51.165,59.473,78.933,56.349,50.846,53.111,67.097,78.855
CN: GDP: Secondary Industry: Guangxi: Hezhou,China,Hezhou,"Annual, ending ""Dec"" of each year",RMB bn,Hezhou Municipal Bureau of Statistics,Active,293358901 (CAAPLT),SR4391895,,,,1999,2022,02/02/2023,,,14.844,104.379,10.217,0.590,-0.153,0.688,2.358,38.747,15.233,24,2.358,2.520,2.743,3.068,3.824,5.428,4.852,6.140,10.039,10.430,11.207,13.957,16.509,18.353,19.630,19.202,18.868,21.155,21.091,21.339,24.488,25.759,34.537,38.747
CN: GDP: Secondary Industry: Guangxi: Hechi,China,Hechi,"Annual, ending ""Dec"" of each year",RMB bn,Hechi Municipal Bureau of Statistics,Active,293359001 (CAAPLU),SR4391889,,,,1978,2022,02/02/2023,,,16.584,76.408,8.741,-0.019,-0.984,0.527,4.200,33.771,18.206,24,4.608,5.631,5.458,4.200,4.608,5.868,7.608,10.087,14.443,16.645,16.586,21.629,21.165,17.434,18.978,20.527,20.001,19.982,23.149,24.980,24.732,26.398,29.539,33.771
CN: GDP: Secondary Industry: Guangxi: Laibin,China,Laibin,"Annual, ending ""Dec"" of each year",RMB bn,Laibin Municipal Bureau of Statistics,Active,293359101 (CAAPLV),SR4392065,,,,1978,2022,02/02/2023,,,15.217,75.075,8.665,-0.215,-1.659,0.569,2.755,28.208,18.692,24,2.755,3.387,3.739,3.905,4.421,5.713,6.517,7.741,9.686,11.387,12.944,19.235,23.175,23.607,21.951,22.821,21.805,22.020,25.008,23.922,18.220,19.163,23.885,28.208
CN: GDP: Secondary Industry: Guangxi: Chongzuo,China,Chongzuo,"Annual, ending ""Dec"" of each year",RMB bn,Chongzuo Municipal Bureau of Statistics,Active,293359201 (CAAPLW),SR4391909,,,,2003,2022,02/02/2023,,,20.928,175.299,13.240,0.243,-0.994,0.633,2.497,44.972,21.533,20,,,,,2.497,3.108,4.363,6.658,7.812,10.167,10.741,14.911,19.742,21.696,24.824,27.745,27.461,31.069,39.820,44.972,21.370,23.261,34.763,41.577
CN: GDP: Secondary Industry: Hainan: Haikou,China,Haikou,"Annual, ending ""Dec"" of each year",RMB bn,Haikou Municipal Bureau of Statistics,Active,293359301 (CAAPLX),SR4391616,,,,1999,2022,29/01/2023,,,16.740,105.016,10.248,0.552,-0.345,0.612,3.026,40.630,15.485,24,3.026,3.466,4.027,4.920,7.610,8.590,8.547,10.299,10.943,10.978,11.320,14.198,16.772,18.316,20.456,21.749,21.636,23.460,25.275,26.717,27.184,26.956,34.675,40.630
CN: GDP: Secondary Industry: Hainan: Sanya,China,Sanya,"Annual, ending ""Dec"" of each year",RMB bn,Sanya Municipal Bureau of Statistics,Active,293359401 (CAAPLY),SR4391927,,,,1999,2022,29/01/2023,,,6.067,17.584,4.193,0.050,-1.446,0.691,0.565,12.472,5.704,24,0.565,0.617,0.669,0.730,0.910,1.120,1.890,4.100,4.900,5.268,3.861,4.922,6.139,6.659,7.369,8.558,8.953,9.445,10.585,11.825,11.237,11.330,12.472,11.477
CN: GDP: Secondary Industry: Hainan: Danzhou,China,Danzhou,"Annual, ending ""Dec"" of each year",RMB bn,Danzhou Municipal Bureau of Statistics,Active,409034897 (CAATJU),SR136746487,,,,2009,2022,03/02/2023,,,4.289,29.086,5.393,3.600,13.257,1.258,1.304,22.824,3.046,14,,,,,,,,,,,1.304,1.682,2.240,2.371,2.618,2.874,2.950,3.143,3.610,4.239,3.794,3.181,3.212,22.824
CN: GDP: Secondary Industry: Chongqing,China,Chongqing,"Annual, ending ""Dec"" of each year",RMB bn,Chongqing Municipal Bureau of Statistics,Active,293359501 (CAAPLZ),SR4391596,,,,1949,2022,16/02/2023,,,491.660,134075.290,366.163,0.433,-1.241,0.745,70.974,1169.386,409.769,24,70.974,77.463,85.992,98.132,116.412,139.255,155.917,187.342,223.730,265.179,301.681,362.412,457.126,530.814,598.862,677.458,720.801,776.538,845.502,884.223,939.196,996.955,1118.494,1169.386
CN: GDP: Secondary Industry: Sichuan: Chengdu,China,Chengdu,"Annual, ending ""Dec"" of each year",RMB bn,Chengdu Municipal Bureau of Statistics,Active,293359601 (CAAPMA),SR4391933,,,,1949,2022,01/02/2023,,,294.233,39327.081,198.311,0.141,-1.412,0.674,43.028,640.412,306.509,24,43.028,47.303,53.298,58.481,67.192,80.438,102.106,123.166,151.681,189.100,219.573,272.356,340.662,397.992,406.791,419.364,421.093,421.636,450.473,483.416,518.757,541.850,611.434,640.412
CN: GDP: Secondary Industry: Sichuan: Zigong,China,Zigong,"Annual, ending ""Dec"" of each year",RMB bn,Zigong Municipal Bureau of Statistics,Active,293359701 (CAAPMB),SR4392090,,,,1999,2022,02/02/2023,,,32.916,401.443,20.036,-0.062,-1.582,0.609,6.380,62.824,37.278,24,6.380,6.845,7.313,8.210,8.590,10.390,11.730,14.760,18.760,24.793,29.190,34.588,39.968,42.749,45.266,45.845,46.269,47.212,49.586,52.530,57.270,56.794,62.824,62.132
CN: GDP: Secondary Industry: Sichuan: Panzhihua,China,Panzhihua,"Annual, ending ""Dec"" of each year",RMB bn,Panzhihua Municipal Bureau of Statistics,Active,293359801 (CAAPMC),SR4391644,,,,1999,2022,02/02/2023,,,35.045,366.782,19.152,-0.125,-1.350,0.546,7.552,67.779,40.753,24,7.552,7.854,8.408,9.540,11.560,14.560,17.210,20.460,24.620,31.353,30.006,38.032,43.474,44.407,45.316,47.157,47.515,48.291,50.635,52.296,55.074,55.839,62.148,67.779
CN: GDP: Secondary Industry: Sichuan: Luzhou,China,Luzhou,"Annual, ending ""Dec"" of each year",RMB bn,Luzhou Municipal Bureau of Statistics,Active,293359901 (CAAPMD),SR4391604,,,,1999,2022,02/02/2023,,,50.704,1663.465,40.786,0.469,-1.088,0.804,6.361,133.067,45.059,24,6.908,6.361,6.801,7.400,8.520,10.030,10.990,13.820,17.970,24.721,30.310,39.404,50.713,56.735,65.789,72.518,72.847,77.988,85.641,93.800,102.186,103.809,118.559,133.067
CN: GDP: Secondary Industry: Sichuan: Deyang,China,Deyang,"Annual, ending ""Dec"" of each year",RMB bn,Deyang Municipal Bureau of Statistics,Active,293360001 (CAAPME),SR4391610,,,,1999,2022,01/02/2023,,,60.187,1655.596,40.689,0.400,-1.133,0.676,10.471,135.492,54.577,24,10.471,11.362,12.550,13.780,16.320,20.250,23.650,29.140,35.610,38.347,43.991,49.955,59.199,64.623,76.709,78.686,78.983,80.996,96.399,108.327,118.439,112.868,128.332,135.492
CN: GDP: Secondary Industry: Sichuan: Mianyang,China,Mianyang,"Annual, ending ""Dec"" of each year",RMB bn,Mianyang Municipal Bureau of Statistics,Active,293360101 (CAAPMF),SR4391621,,,,1999,2022,02/02/2023,,,59.998,1925.899,43.885,0.583,-0.948,0.731,12.739,151.433,46.422,24,13.300,13.140,12.739,14.960,15.670,17.270,19.700,24.530,30.180,33.159,37.560,41.854,50.990,57.085,74.259,83.629,84.418,87.805,99.366,109.063,115.134,117.436,135.265,151.433
CN: GDP: Secondary Industry: Sichuan: Guangyuan,China,Guangyuan,"Annual, ending ""Dec"" of each year",RMB bn,Guangyuan Municipal Bureau of Statistics,Active,293360201 (CAAPMG),SR4392053,,,,1999,2022,02/02/2023,,,18.578,231.413,15.212,0.437,-1.328,0.819,2.237,45.726,14.343,24,2.376,2.237,2.365,2.430,2.950,3.770,4.270,5.440,7.450,8.038,9.159,12.251,16.435,20.376,25.629,27.409,28.230,28.908,31.650,35.969,38.968,39.293,45.726,44.544
CN: GDP: Secondary Industry: Sichuan: Suining,China,Suining,"Annual, ending ""Dec"" of each year",RMB bn,Suining Municipal Bureau of Statistics,Active,293360301 (CAAPMH),SR4391598,,,,1999,2022,01/02/2023,,,31.039,586.791,24.224,0.397,-1.245,0.780,3.574,77.288,26.992,24,3.574,3.900,4.230,4.800,5.350,6.630,7.460,9.550,12.940,17.195,19.665,24.369,29.614,34.087,37.684,45.962,48.095,48.766,52.222,56.200,61.529,63.412,70.407,77.288
CN: GDP: Secondary Industry: Sichuan: Neijiang,China,Neijiang,"Annual, ending ""Dec"" of each year",RMB bn,Neijiang Municipal Bureau of Statistics,Active,293360401 (CAAPMI),SR4391778,,,,1999,2022,02/02/2023,,,28.900,270.067,16.434,-0.154,-1.413,0.569,5.119,54.488,34.355,24,5.119,5.936,6.692,7.690,9.070,11.180,11.190,14.450,18.450,26.203,31.926,33.244,35.466,36.178,36.510,37.351,37.527,38.541,42.262,44.579,48.988,47.908,52.663,54.488
CN: GDP: Secondary Industry: Sichuan: Leshan,China,Leshan,"Annual, ending ""Dec"" of each year",RMB bn,Leshan Municipal Bureau of Statistics,Active,293360501 (CAAPMJ),SR4392100,,,,1999,2022,02/02/2023,,,44.733,912.425,30.206,0.177,-1.303,0.675,5.675,99.221,43.451,24,5.675,6.361,7.075,8.040,10.450,13.230,16.070,20.040,25.170,32.989,35.385,39.872,47.029,52.289,59.933,65.189,65.535,65.850,68.522,74.094,80.188,82.308,93.068,99.221
CN: GDP: Secondary Industry: Sichuan: Nanchong,China,Nanchong,"Annual, ending ""Dec"" of each year",RMB bn,Nanchong Municipal Bureau of Statistics,Active,293360601 (CAAPMK),SR4392101,,,,1999,2022,01/02/2023,,,43.328,1159.330,34.049,0.440,-1.231,0.786,4.137,101.943,34.943,24,4.137,4.572,5.440,6.190,7.440,9.540,11.310,15.440,20.280,25.617,30.899,31.773,38.113,40.729,57.052,61.378,61.667,64.160,70.923,85.120,93.762,91.080,101.943,101.298
CN: GDP: Secondary Industry: Sichuan: Meishan,China,Meishan,"Annual, ending ""Dec"" of each year",RMB bn,Meishan Municipal Bureau of Statistics,Active,293360701 (CAAPML),SR4391626,,,,1999,2022,01/02/2023,,,29.956,389.311,19.731,0.124,-1.364,0.659,4.096,65.761,29.909,24,4.096,4.491,4.988,5.890,7.280,9.640,11.310,13.710,16.930,21.238,23.672,27.632,32.186,36.223,41.197,43.444,43.742,44.721,46.578,49.089,52.713,52.764,59.658,65.761
CN: GDP: Secondary Industry: Sichuan: Yibin,China,Yibin,"Annual, ending ""Dec"" of each year",RMB bn,Yibin Municipal Bureau of Statistics,Active,293360801 (CAAPMM),SR4391899,,,,1999,2022,02/02/2023,,,61.197,2480.542,49.805,0.867,-0.273,0.814,7.685,172.321,47.953,24,7.685,8.990,10.657,12.340,14.430,17.280,18.050,21.910,27.690,35.666,40.226,43.323,52.583,59.676,72.218,74.630,75.400,77.230,85.640,118.098,130.892,134.930,156.865,172.321
CN: GDP: Secondary Industry: Sichuan: Guangan,China,Guangan,"Annual, ending ""Dec"" of each year",RMB bn,Guangan Municipal Bureau of Statistics,Active,293360901 (CAAPMN),SR4391883,,,,1999,2022,02/02/2023,,,24.085,221.585,14.886,-0.066,-1.626,0.618,4.491,47.219,27.701,24,4.491,4.671,4.574,5.310,6.480,8.120,9.160,10.840,13.160,16.390,20.011,25.010,30.392,33.260,33.602,33.796,34.242,34.957,36.855,38.272,41.098,41.713,47.219,44.420
CN: GDP: Secondary Industry: Sichuan: Dazhou,China,Dazhou,"Annual, ending ""Dec"" of each year",RMB bn,Dazhou Municipal Bureau of Statistics,Active,293361001 (CAAPMO),SR4392071,,,,1999,2022,02/02/2023,,,38.180,712.966,26.701,0.383,-1.048,0.699,6.319,91.378,35.656,24,6.319,6.762,7.420,8.350,8.790,11.120,11.570,14.960,19.970,24.572,30.903,32.837,38.475,42.133,49.110,52.655,53.369,54.897,59.260,65.326,70.627,72.030,83.497,91.378
CN: GDP: Secondary Industry: Sichuan: Yaan,China,Yaan,"Annual, ending ""Dec"" of each year",RMB bn,Yaan Municipal Bureau of Statistics,Active,293361101 (CAAPMP),SR4391743,,,,1999,2022,01/02/2023,,,14.308,65.186,8.074,-0.045,-1.476,0.564,3.218,28.366,16.742,24,3.218,3.542,3.903,4.260,5.000,6.150,5.690,6.900,8.430,10.702,12.450,15.259,18.225,19.317,19.555,19.794,19.941,20.019,20.646,20.777,22.720,22.588,25.950,28.366
CN: GDP: Secondary Industry: Sichuan: Bazhong,China,Bazhong,"Annual, ending ""Dec"" of each year",RMB bn,Bazhong Municipal Bureau of Statistics,Active,293361201 (CAAPMQ),SR4392069,,,,1999,2022,01/02/2023,,,11.187,71.606,8.462,0.147,-1.708,0.756,1.310,24.212,10.728,24,1.310,1.362,1.506,1.770,2.230,2.550,2.410,3.090,4.010,5.119,6.963,9.094,12.361,14.295,15.631,17.662,17.792,18.603,20.799,23.822,24.212,21.494,20.727,19.685
CN: GDP: Secondary Industry: Sichuan: Ziyang,China,Ziyang,"Annual, ending ""Dec"" of each year",RMB bn,Ziyang Municipal Bureau of Statistics,Active,293361301 (CAAPMR),SR4391785,,,,1999,2022,02/02/2023,,,14.475,72.371,8.507,-0.110,-1.419,0.588,2.526,29.044,16.836,24,3.973,2.526,2.955,3.078,3.756,4.600,5.740,7.219,9.510,12.216,13.487,16.280,17.391,18.168,19.413,19.933,20.276,20.755,21.694,22.495,23.765,22.863,26.253,29.044
CN: GDP: Secondary Industry: Guizhou: Guiyang,China,Guiyang,"Annual, ending ""Dec"" of each year",RMB bn,Guiyang Municipal Bureau of Statistics,Active,293361401 (CAAPMS),SR4392058,,,,1994,2022,02/02/2023,,,70.856,3091.632,55.602,0.635,-1.107,0.785,11.909,173.975,47.180,24,11.909,13.059,14.584,16.196,18.687,20.655,23.647,27.163,31.652,36.305,38.484,42.364,51.995,63.965,78.290,90.114,101.009,110.670,123.522,141.367,147.527,155.259,168.134,173.975
CN: GDP: Secondary Industry: Guizhou: Liupanshui,China,Liupanshui,"Annual, ending ""Dec"" of each year",RMB bn,Liupanshui Municipal Bureau of Statistics,Active,293361501 (CAAPMT),SR4391595,,,,1999,2022,02/02/2023,,,36.522,660.546,25.701,0.066,-1.678,0.704,3.943,74.197,34.395,24,3.943,4.392,4.913,5.620,6.760,9.240,11.810,14.950,17.600,24.230,26.131,30.322,38.469,44.157,50.379,56.708,61.414,66.000,72.938,74.197,58.243,59.999,67.003,67.106
CN: GDP: Secondary Industry: Guizhou: Zunyi,China,Zunyi,"Annual, ending ""Dec"" of each year",RMB bn,Zunyi Municipal Bureau of Statistics,Active,293361601 (CAAPMU),SR4391942,,,,1999,2022,02/02/2023,,,69.666,4149.088,64.413,0.849,-0.511,0.925,7.231,210.197,43.635,24,8.378,7.231,7.777,8.572,10.196,12.914,15.717,19.398,23.404,28.541,31.126,37.969,49.302,62.623,74.414,86.069,97.075,106.300,124.105,137.416,159.312,161.560,192.397,210.197
CN: GDP: Secondary Industry: Guizhou: Anshun,China,Anshun,"Annual, ending ""Dec"" of each year",RMB bn,Anshun Municipal Bureau of Statistics,Active,293361701 (CAAPMV),SR4392094,,,,1999,2022,07/02/2023,,,13.860,119.021,10.910,0.468,-1.421,0.787,2.054,32.836,10.061,24,2.054,2.058,2.304,2.970,3.310,3.820,3.950,4.470,5.840,6.523,6.918,8.860,11.263,13.702,16.445,18.967,20.762,22.712,26.782,27.283,29.240,29.260,32.836,30.303
CN: GDP: Secondary Industry: Guizhou: Bijie,China,Bijie,"Annual, ending ""Dec"" of each year",RMB bn,Bijie Municipal Bureau of Statistics,Active,313812801 (CAARKM),SR5004900,,,,2005,2022,02/02/2023,,,41.349,428.599,20.703,-0.331,-1.358,0.501,8.670,69.703,48.521,18,,,,,,,8.670,10.820,12.960,16.722,20.674,25.973,34.223,39.097,44.975,52.280,56.660,61.787,69.219,69.703,52.067,53.345,59.092,56.013
CN: GDP: Secondary Industry: Guizhou: Tongren,China,Tongren,"Annual, ending ""Dec"" of each year",RMB bn,Tongren Municipal Bureau of Statistics,Active,313812601 (CAARKK),SR5004617,,,,2005,2021,22/04/2022,,,17.468,135.523,11.641,0.283,-1.468,0.666,2.900,36.754,15.500,17,,,,,,,2.900,3.680,5.000,6.124,6.543,7.722,9.990,13.179,15.500,19.335,22.121,24.341,27.753,30.155,32.600,33.258,36.754,
CN: GDP: Secondary Industry: Yunnan: Kunming,China,Kunming,"Annual, ending ""Dec"" of each year",RMB bn,Kunming Municipal Bureau of Statistics,Active,293361801 (CAAPMW),SR4392034,,,,1995,2022,06/02/2023,,,111.923,5099.497,71.411,0.390,-1.245,0.638,26.810,241.339,98.008,24,26.810,27.581,29.737,31.775,35.437,42.422,47.353,55.537,64.334,73.545,79.582,90.658,105.358,120.971,135.984,143.873,152.580,159.497,178.431,196.408,207.875,210.293,228.771,241.339
CN: GDP: Secondary Industry: Yunnan: Qujing,China,Qujing,"Annual, ending ""Dec"" of each year",RMB bn,Qujing Municipal Bureau of Statistics,Active,293361901 (CAAPMX),SR4391618,,,,1999,2022,06/02/2023,,,59.131,1741.861,41.736,0.673,0.000,0.706,8.556,159.505,58.689,24,8.556,9.075,10.222,12.560,14.140,17.810,22.230,28.950,35.460,42.372,45.601,52.667,64.712,74.292,83.845,83.944,84.229,67.491,75.688,77.737,100.428,109.492,138.150,159.505
